backend,GPU,precision,vec_size,routine,BW_GBs
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3556.5671
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3297.7126
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3593.73
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3449.4182
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3505.2717
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3613.054
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3409.7651
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3571.4963
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3454.2788
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3581.2405
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3499.7646
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3429.3457
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3556.8027
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3610.1628
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3646.9236
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3499.7646
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3552.0962
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3574.564
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3652.1582
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3609.653
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3589.621
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3541.7854
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3607.2278
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3608.925
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3495.8906
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3430.4412
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3590.101
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3436.3696
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3511.2092
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3644.6953
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3645.1902
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3346.8252
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3555.625
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3600.454
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3604.8057
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3369.2996
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3397.0142
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3406.0874
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3588.1816
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3495.663
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3403.259
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3414.08
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3691.5852
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3498.8752
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3469.9292
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3633.595
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3677.9033
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3562.2307
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3253.921
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3472.151
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3412.5825
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3497.2798
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3611.5957
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3385.0198
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3551.4148
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3590.101
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3584.1094
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3558.9248
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3448.7314
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3640.0002
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3253.3293
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3580.0464
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3559.1606
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3449.3962
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3600.454
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3604.5637
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3649.1545
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3571.948
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3497.257
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3475.2976
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3633.103
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3373.1099
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3569.0984
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3627.9475
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3651.885
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3401.103
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3442.3186
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3426.5002
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3622.073
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3575.9924
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3507.5388
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3475.0725
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3667.8777
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3492.7292
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3584.8513
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3389.3152
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3687.528
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3236.2676
