backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5988597467392
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0852701598956
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7815152673497
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.198193227894
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6244519403479
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9478077908816
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5174362130165
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.1767224853068
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.14184640332
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.755917378484
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5930434685154
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7326473759279
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.662841970751
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5046419403052
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5779213694439
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.1360338905865
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.542909137445
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9770206694946
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6232886386888
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9908710224038
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4569562398628
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.740791789562
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6196824157296
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1147.4181089436254
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8222410946476
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.2505863512727
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4279974723797
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9805123294861
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6453916980813
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4115996611201
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6430650276552
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7547538601368
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6443446954404
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8117685146433
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.651208407702
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9444326756336
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.584900759524
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9968069711167
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4662605137712
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3011278849651
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.505805046422
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0852701598956
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4650974728243
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.630268477404
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8140957412174
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7826788298091
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6884364844202
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.520925600374
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.160446765851
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5185993402188
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8907821484381
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.23428585185
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0398731916046
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0129855945233
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5034788361052
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.3798393454956
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.403342751457
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.796641728923
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1574457083764
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1243.4688971214769
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6837828674486
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.7419901428689
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7826788298091
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.885079837539
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6731960031345
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8804249240136
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7838423941862
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7581280686272
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7931509782516
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1912077718287
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.145803991839
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0037905040883
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.210437669939
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0351008593698
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9712012745506
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1178646552773
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.755917378484
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7396282961465
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5825742884954
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.519762469338
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.495337160377
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.672148959249
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6884364844202
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1154200159285
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5686156233633
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0654813789452
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6070026167763
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1410.538762947992
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4209033370582
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7803517068087
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.2813610754963
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0887623552858
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.642948694335
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1469681548554
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9746929057608
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7732540290401
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6814560704684
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3581059046458
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5836211995093
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.145803991839
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8443503848844
